id,genre
862,Animation
8844,Adventure
15602,Romance
31357,Comedy
11862,Comedy
949,Action
11860,Comedy
45325,Action
9091,Action
710,Adventure
9087,Comedy
12110,Comedy
21032,Family
10858,History
1408,Action
524,Drama
4584,Drama
5,Crime
9273,Crime
11517,Action
8012,Comedy
1710,Drama
9691,Action
12665,Drama
451,Drama
16420,Drama
9263,Comedy
17015,Drama
902,Fantasy
37557,Drama
9909,Drama
63,Science Fiction
78802,Romance
9598,Fantasy
47018,History
687,Drama
139405,Adventure
33689,Comedy
9603,Comedy
34615,Drama
31174,Drama
11443,Action
35196,Drama
9312,Action
577,Fantasy
11861,Drama
807,Crime
10530,Adventure
8391,Drama
629,Drama
117164,Action
11448,Comedy
49133,Drama
26441,Action
97406,Drama
9089,Comedy
11010,Comedy
99040,Thriller
11359,Adventure
17182,Drama
2054,Music
10607,Comedy
19760,Comedy
9536,Comedy
11525,Action
40628,Drama
4482,Comedy
10634,Comedy
755,Horror
11859,Action
28387,Comedy
48750,Drama
20927,Drama
36929,Comedy
9102,Horror
124626,Documentary
27526,Drama
9623,Drama
46785,Family
400,Drama
880,Drama
146599,Romance
8447,Drama
10534,Action
17414,Adventure
13997,Comedy
2086,Crime
61548,Drama
9095,Drama
12158,Comedy
9283,Comedy
9208,Action
40154,Comedy
406,Drama
45549,Action
63076,Documentary
11062,Drama
13685,Comedy
47475,Comedy
2045,Drama
9614,Comedy
688,Drama
11907,Drama
10874,Action
89333,Documentary
96357,Crime
197,Action
103,Crime
33542,Crime
43566,Drama
71754,Drama
43612,Comedy
51352,Documentary
16934,Comedy
10324,Comedy
78406,Comedy
55731,Action
32119,Drama
11066,Comedy
11104,Drama
37975,Drama
2074,Comedy
27793,Fantasy
44284,Drama
110972,Comedy
32622,Comedy
73067,Drama
11863,Action
55475,Comedy
124636,Music
9101,Comedy
123360,Documentary
5757,Comedy
39428,Drama
9302,Drama
11000,Comedy
249882,Drama
16388,Comedy
9737,Action
30765,Action
10474,Drama
22279,Romance
30157,Crime
568,Drama
11780,Adventure
34996,Drama
414,Action
649,Drama
1873,Drama
5894,Comedy
1775,Action
8839,Fantasy
20649,Mystery
10329,Action
8963,Action
26564,Documentary
8068,Thriller
8512,Drama
1572,Action
13552,Action
259209,Drama
6520,Action
9073,Adventure
10428,Action
17447,Comedy
9886,Adventure
9482,Science Fiction
19326,Comedy
9344,Drama
9071,Drama
8973,Mystery
15730,Comedy
47608,Drama
2293,Romance
9070,Action
68274,Comedy
48787,Thriller
34574,Horror
1642,Crime
11472,Comedy
36196,Comedy
11980,Fantasy
58372,Fantasy
32646,Drama
10533,Drama
56088,Documentary
10802,Drama
10149,Comedy
18402,Comedy
9348,Science Fiction
139408,Drama
281,Crime
5967,Drama
79593,Thriller
47939,Drama
36834,Drama
9090,Comedy
3512,Action
52856,Comedy
77350,Documentary
9560,Drama
9804,Adventure
31611,Drama
65796,Action
49805,Drama
26258,Adventure
50797,Drama
19155,Drama
76,Drama
11017,Comedy
37141,Drama
9382,Comedy
6715,Drama
18256,Thriller
22625,Drama
2292,Comedy
1909,Romance
8984,Drama
61813,Thriller
4954,Action
62488,Crime
10531,Drama
11929,Crime
8467,Comedy
10451,Comedy
20156,Drama
18395,Thriller
522,Comedy
397,Comedy
10525,Comedy
27985,Action
15789,Romance
27303,Drama
21183,Drama
10954,History
47867,Drama
43475,Fantasy
72031,Drama
14275,Documentary
1024,Drama
17207,Comedy
13701,Drama
14819,Comedy
32631,Action
11777,Comedy
628,Horror
87729,Drama
18713,Comedy
6280,Comedy
9061,Action
37108,Adventure
6071,Action
11,Adventure
9587,Drama
19101,Drama
49980,Drama
17961,Crime
18183,Drama
4476,Adventure
11008,Adventure
47504,Action
32325,Crime
43742,Drama
28313,Drama
11318,Comedy
3036,Drama
40490,Action
24070,Comedy
8986,Comedy
10510,Fantasy
17402,Comedy
38722,Comedy
8438,Crime
11593,Drama
1945,Drama
39310,Crime
109560,Action
56428,Horror
63105,Science Fiction
131957,Drama
241,Crime
9058,Comedy
527,Drama
18220,Drama
6950,Action
101,Thriller
63020,Comedy
2307,Comedy
680,Thriller
41478,Drama
25296,Comedy
40156,Drama
11450,History
30304,Drama
10452,Drama
12106,Action
161495,Drama
3586,Drama
110,Drama
108,Drama
109,Comedy
159185,Drama
36357,Comedy
92769,Horror
28033,Comedy
22586,Animation
14334,Drama
2636,Action
2164,Action
11395,Fantasy
278,Drama
9905,Crime
87078,Drama
12527,Comedy
20306,Crime
36614,Comedy
27993,Comedy
31439,Drama
9067,Action
9059,Horror
193,Science Fiction
25066,Crime
46797,Drama
12122,Thriller
11381,Comedy
32636,Drama
36141,Thriller
95963,Drama
1587,Romance
9271,Action
2064,Comedy
19855,Drama
60855,Comedy
236,Drama
48287,Comedy
3049,Comedy
2759,Drama
12635,Drama
10497,Thriller
11382,Action
9331,Action
10731,Drama
10464,Comedy
34152,Comedy
9495,Fantasy
29973,Drama
888,Fantasy
13,Comedy
712,Comedy
16295,Romance
48992,Comedy
10879,Action
10660,Comedy
10714,Adventure
41647,Documentary
8587,Family
1689,Drama
11596,Horror
854,Romance
9359,Action
23333,Drama
36593,Comedy
12280,Comedy
2788,Drama
10427,Crime
11011,Comedy
49803,Drama
8987,Action
1637,Action
15128,Comedy
8831,Thriller
36955,Action
10449,Drama
10395,Fantasy
12160,Drama
40480,Action
52038,Comedy
29444,Comedy
26352,Action
39953,Drama
41580,Drama
315,Action
22067,Crime
18242,Animation
11667,Action
32502,Action
28732,Action
75555,Horror
42981,Documentary
278939,Romance
291731,Thriller
226229,Action
203119,Comedy
316098,Documentary
8011,Action
2654,Horror
18069,Drama
19092,Crime
2758,Comedy
38129,Comedy
10436,Drama
13595,Comedy
46094,Comedy
9409,Action
11853,Action
16771,Comedy
46924,Drama
11041,Comedy
306,Action
14522,Action
26203,Mystery
178,Drama
19819,Drama
57834,Drama
4722,Horror
18215,Drama
1607,Drama
26391,Comedy
117553,Drama
6075,Action
11310,Action
18658,Comedy
9350,Action
9612,Comedy
2124,Drama
26261,Action
19176,Western
49299,Drama
11566,Comedy
9571,Comedy
9739,Crime
24257,Documentary
34444,Western
26141,Comedy
10997,Drama
50463,Drama
10443,Drama
20239,Comedy
16297,Comedy
18551,Drama
25440,Comedy
9024,Comedy
37233,Drama
1634,Family
13815,Crime
5503,Adventure
35588,History
2087,Drama
41579,Family
18620,Drama
41006,Comedy
4916,Drama
2019,Action
31642,History
9255,Action
26271,Comedy
10612,Drama
2259,Romance
16097,Comedy
11934,Comedy
106143,Comedy
12475,Comedy
9386,Action
7984,Drama
59930,Comedy
15765,Drama
31643,Comedy
6,Action
329,Adventure
10909,Thriller
507,Action
34024,Drama
29918,Action
9593,Adventure
42580,Comedy
22317,Action
1413,Drama
12121,Comedy
2246,Drama
10502,Drama
10440,Comedy
9516,Drama
2320,Action
5879,Drama
83718,Thriller
11971,Drama
2625,Drama
31911,Comedy
788,Comedy
21450,Comedy
11231,Adventure
41588,Comedy
10447,Action
31586,Comedy
9300,Romance
9559,Crime
9800,Drama
713,Drama
8291,Drama
18133,Drama
25557,Horror
22588,Comedy
10872,Comedy
1245,Drama
11858,Comedy
7007,Action
10467,Comedy
5550,Action
8005,Comedy
2088,Action
10412,Action
47889,Drama
14534,Drama
56583,Drama
41878,Drama
424,Drama
35233,Comedy
14291,Drama
103413,Drama
11236,Drama
11592,Comedy
8850,Adventure
10445,Drama
695,Comedy
43535,Drama
12519,Comedy
23210,Mystery
858,Comedy
867,Drama
78,Science Fiction
13203,Comedy
10442,Comedy
11074,Crime
33367,History
9607,Adventure
17585,Action
9057,Action
20967,Drama
10635,Comedy
9479,Fantasy
10057,Action
11969,Action
41590,Drama
319,Action
26408,Documentary
15139,Fantasy
161158,Drama
85247,Thriller
11446,Comedy
51980,Drama
24405,Comedy
11655,Drama
11800,Comedy
8223,Comedy
14587,Comedy
31504,Comedy
41653,Drama
53185,TV Movie
95743,Drama
23637,Comedy
17600,Comedy
10897,Romance
349394,Comedy
21352,Drama
68806,Thriller
37345,Comedy
32562,History
47507,Drama
25403,Comedy
124304,Romance
9066,Comedy
771,Comedy
251,Fantasy
812,Animation
280,Action
581,Adventure
80350,Thriller
268,Fantasy
274,Crime
408,Fantasy
10020,Romance
10895,Animation
114,Romance
41043,Comedy
576,Adventure
15477,Crime
59146,Drama
30528,Comedy
7300,Comedy
10824,Horror
261246,Romance
275,Crime
25059,Adventure
11827,Animation
8766,Horror
23570,Comedy
47333,Drama
54850,Drama
51242,Comedy
10112,Animation
4307,Drama
46029,Comedy
32308,Comedy
88893,Adventure
52873,Drama
340210,Thriller
44281,Comedy
28121,Comedy
12520,Comedy
1592,Crime
36447,Drama
19042,Romance
38884,Drama
47449,Comedy
36259,Fantasy
41852,Comedy
40926,Drama
9099,Comedy
2021,Comedy
61752,Comedy
10988,Drama
11479,Adventure
398959,Romance
287305,Comedy
339428,Comedy
12652,Drama
10684,Drama
954,Adventure
68445,Drama
18989,Drama
10801,Comedy
54285,Horror
8840,Fantasy
278978,Drama
124625,Drama
11107,Action
16417,Drama
10363,Crime
161070,Romance
10539,Adventure
10543,Drama
18414,Comedy
47502,Comedy
11902,War
27098,War
25087,Action
5801,Drama
896,Drama
3065,Comedy
2300,Animation
8069,Science Fiction
288173,Thriller
187851,Comedy
27768,Drama
221917,Drama
8072,Drama
35797,Drama
88030,Documentary
83857,Horror
33245,Drama
124460,Drama
27281,Action
105045,Drama
40001,Comedy
29621,Action
117730,Drama
20762,Action
37144,Crime
48260,Crime
12656,Action
38867,Drama
25969,Comedy
44103,Drama
753,Drama
43634,Romance
9103,Action
90214,Comedy
29649,Drama
10990,Drama
8866,Comedy
12233,Animation
23449,Comedy
36355,Adventure
37667,Drama
90148,Drama
922,Drama
11876,War
52633,Action
62364,Comedy
11687,Fantasy
9304,Comedy
73183,Documentary
131232,Drama
9100,Drama
20759,Comedy
46063,Drama
32513,Comedy
40651,Animation
36915,Drama
40507,Action
9802,Action
25697,Comedy
21588,Fantasy
664,Action
11867,Action
47119,Drama
314352,Comedy
9323,Action
10280,Horror
10535,Action
124613,Comedy
532,Family
26744,Drama
16299,Comedy
10547,Action
245268,Drama
935,Drama
55613,Horror
41007,Comedy
35645,Drama
110465,Family
255546,Documentary
40751,Drama
85778,Documentary
11101,Drama
9826,Adventure
9879,Drama
63564,Drama
22621,Drama
7095,Comedy
26890,Drama
46732,Comedy
124633,Drama
202425,Music
77771,Drama
181083,Drama
41225,Drama
87190,Western
627,Drama
32872,Comedy
602,Action
14553,Drama
9566,Drama
10545,Drama
9894,Comedy
11543,Comedy
9268,Action
52059,Documentary
9327,Fantasy
